DATE_SEPARATION,AGE_GROUP,AGE_VALUE,EDUCATION,EDUCATION_LEVEL,TEMPS_DE_SERVICE,POSTE_OCCUPATION_CTG,POSTE_OCCUPATION,OCCUPATION_CATEGORY,SALARY_LEVEL_CTG,SALARY_LEVEL,AVERAGE_SALARY,LENGTH_OF_SERVICE,WORK_SCHEDULE,WORK_SCHEDULE_CTG,SEPARATION_CATEGORY
08-01-22,25.0-29,29,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,50643.0,0.2,Full-time,F-Full-time Nonseasonal,Volontaire
08-01-22,35.0-39,39,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,50643.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
08-01-22,25.0-29,29,15,POST-BACHELORS,1,White Collar,0999-LEGAL OCCUPATIONS STUDENT TRAINEE,Other White Collar,"60,000 - 69,999",69999,61947.0,0.2,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-22,25.0-29,29,13,BACHELORS,1,White Collar,0999-LEGAL OCCUPATIONS STUDENT TRAINEE,Other White Collar,"60,000 - 69,999",69999,61947.0,0.4,Not Full-time,P-Part-time Nonseasonal,Volontaire
08-01-22,20.0-24,24,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,50643.0,0.2,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-22,30.0-34,34,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,50643.0,0.2,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-22,25.0-29,29,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,50643.0,0.2,Full-time,F-Full-time Nonseasonal,Volontaire
08-01-23,45.0-49,49,13,BACHELORS,2,White Collar,0028-ENVIRONMENTAL PROTECTION SPECIALIST,Administrative,"150,000 - 159,999",159999,150646.0,1.1,Full-time,F-Full-time Nonseasonal,Involontaire
10-01-22,25.0-29,29,13,BACHELORS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"50,000 - 59,999",59999,50643.0,0.2,Full-time,F-Full-time Nonseasonal,Involontaire
02-01-23,30.0-34,34,17,MASTERS,1,White Collar,1082-WRITING AND EDITING,Administrative,"110,000 - 119,999",119999,112015.0,0.6,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-22,30.0-34,34,17,MASTERS,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"60,000 - 69,999",69999,61947.0,0.1,Full-time,F-Full-time Nonseasonal,Volontaire
10-01-22,20.0-24,24,4,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,36542.0,0.2,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-22,20.0-24,24,4,,1,White Collar,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,Other White Collar,"30,000 - 39,999",39999,36542.0,0.3,Full-time,F-Full-time Nonseasonal,Volontaire
